电影名	评分	评价人次	短评	
谍影重重3	8.7	211624人评价	像吃了苏打饼一样干脆的电影。	
喜宴	8.8	163739人评价	中国家庭的喜怒哀乐忍。	
小森林 冬春篇	9.0	148524人评价	尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。	
贫民窟的百万富翁	8.5	440233人评价	上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁	
电锯惊魂	8.7	229240人评价	真相就在眼前。	
东邪西毒	8.6	297313人评价	电影诗。	
请以你的名字呼唤我	8.8	229641人评价	沉醉在电影的情感和视听氛围中无法自拔。	
记忆碎片	8.6	321340人评价	一个针管引发的血案。	
真爱至上	8.5	356115人评价	爱，是个动词。	
黑天鹅	8.5	476318人评价	黑暗之美。	
疯狂原始人	8.7	428317人评价	老少皆宜，这就是好莱坞动画的魅力。	
哈利·波特与死亡圣器(下)	8.7	323973人评价	10年的完美句点。	
萤火之森	8.8	196801人评价	触不到的恋人。	
7号房的礼物	8.7	213574人评价	《我是山姆》的《美丽人生》。	
雨人	8.6	233557人评价	生活在自己的世界里，也可以让周围的人显得可笑和渺小。	
英雄本色	8.6	210237人评价	英雄泪短，兄弟情长。 	
卢旺达饭店	8.9	139951人评价	当这个世界闭上双眼，他却敞开了怀抱。	
海洋	9.0	106834人评价	大海啊，不全是水。	
心迷宫	8.7	219495人评价	荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。	
超能陆战队	8.6	445254人评价	Balalala~~~	
唐伯虎点秋香	8.5	408933人评价	华太师是黄霑，吴镇宇四大才子之一。	
蝙蝠侠：黑暗骑士崛起	8.6	341586人评价	诺兰就是保证。	
荒蛮故事	8.8	175929人评价	始于荒诞，止于更荒诞。	
傲慢与偏见	8.5	354690人评价	爱是摈弃傲慢与偏见之后的曙光。	
海边的曼彻斯特	8.6	241318人评价	我们都有权利不与自己的过去和解。	
虎口脱险	8.9	120931人评价	永远看不腻的喜剧。	
纵横四海	8.7	178781人评价	香港浪漫主义警匪动作片的巅峰之作。	
燃情岁月	8.7	164272人评价	传奇，不是每个人都可以拥有。	
教父3	8.8	154965人评价	任何信念的力量，都无法改变命运。	
时空恋旅人	8.6	243050人评价	把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。	
玩具总动员3	8.8	222062人评价	跨度十五年的欢乐与泪水。	
花样年华	8.5	284501人评价	偷情本没有这样美。	
完美的世界	9.0	96991人评价	坏人的好总是比好人的好来得更感人。	
恋恋笔记本	8.5	328379人评价	爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 	
无人知晓	9.1	90572人评价	我的平常生活就是他人的幸福。	
达拉斯买家俱乐部	8.7	218674人评价	Jared Leto的腿比女人还美！	
二十二	8.7	128898人评价	有一些东西不应该被遗忘。	
雨中曲	9.0	105458人评价	骨灰级歌舞片。	
